2022-07-16 23:53:04,P[W],DE[kWh],GE[kWh],PVu[V],DCBUS[V],PVi[A],ACu[V],ACi[A],f[Hz],T[C],iRCD[mA],S[VA],fi[]
2022-07-17 00:23:58,0,0.00,1156041.75,0.3,0.3,0.00,226.5,0.00,49.99,19.1,0.0,0,0.000
2022-07-17 00:24:08,0,0.00,1156041.75,0.3,0.3,0.00,226.3,0.00,50.01,19.1,0.0,0,0.000
2022-07-17 00:24:18,0,0.00,1156041.75,0.3,0.2,0.00,226.0,0.00,50.00,19.1,0.0,0,0.000
2022-07-17 00:24:28,0,0.00,1156041.75,0.3,0.3,0.00,226.3,0.00,50.00,19.1,0.0,0,0.000
2022-07-17 00:24:38,0,0.00,1156041.75,0.3,0.2,0.00,226.2,0.00,50.00,19.1,0.0,0,0.000
2022-07-17 00:24:48,0,0.00,1156041.75,0.3,0.2,0.00,225.9,0.00,50.00,19.1,0.0,0,0.000
2022-07-17 00:24:58,0,0.00,1156041.75,0.3,0.2,0.00,225.8,0.00,50.00,19.1,0.0,0,0.000
2022-07-17 00:25:09,0,0.00,1156041.75,0.3,0.2,0.00,225.9,0.00,49.99,19.1,0.0,0,0.000
2022-07-17 00:25:19,0,0.00,1156041.75,0.3,0.2,0.00,226.0,0.00,49.99,19.1,0.0,0,0.000
2022-07-17 00:25:29,0,0.00,1156041.75,0.3,0.3,0.00,226.0,0.00,49.99,19.1,0.0,0,0.000
2022-07-17 00:25:39,0,0.00,1156041.75,0.3,0.2,0.00,226.1,0.00,50.00,19.1,0.0,0,0.000
2022-07-17 00:25:49,0,0.00,1156041.75,0.3,0.2,0.00,226.2,0.00,49.99,19.1,0.0,0,0.000
2022-07-17 00:25:59,0,0.00,1156041.75,0.3,0.3,0.00,225.9,0.00,49.99,19.1,0.0,0,0.000
2022-07-17 00:26:09,0,0.00,1156041.75,0.3,0.2,0.00,225.8,0.00,49.99,19.1,0.0,0,0.000
2022-07-17 00:26:19,0,0.00,1156041.75,0.3,0.3,0.00,225.9,0.00,49.99,19.1,0.0,0,0.000
2022-07-17 00:26:29,0,0.00,1156041.75,0.3,0.2,0.00,226.1,0.00,49.99,19.1,0.0,0,0.000
2022-07-17 00:26:39,0,0.00,1156041.75,0.3,0.2,0.00,225.9,0.00,50.00,19.1,0.0,0,0.000
2022-07-17 00:26:49,0,0.00,1156041.75,0.3,0.3,0.00,225.6,0.00,50.00,19.1,0.0,0,0.000
2022-07-17 00:26:59,0,0.00,1156041.75,0.3,0.3,0.00,226.2,0.00,50.01,19.1,0.0,0,0.000
